date,store,product,price,unit,promo_text,valid_from,valid_to,url,id
2025-10-15,Safeway — 639 S Bernardo Ave (Sunnyvale),rice|大米,,,Save big every day on laundry items while you shop groceries!* Discover lower prices on trusted laundry essentials—from stain removers to fresh-scent detergents. Shop our laundry aisles in-store or order online for easy DriveUp & Go™ Pickup or Delivery.,,,https://local.safeway.com/safeway/ca/sunnyvale/639-s-bernardo-ave.html,cacd0b1232b21467f99d632984a26b3719662b87
2025-10-15,Safeway — 639 S Bernardo Ave (Sunnyvale),(whole|2%|skim)?\s*milk,,,"Enjoy extra free time with Safeway Flash™—our lightning-fast service that brings you groceries in as soon as 30 minutes.* From bananas and strawberries to milk and bottled water, get what you need, when you need it.",,,https://local.safeway.com/safeway/ca/sunnyvale/639-s-bernardo-ave.html,b1b351eaa4db91cebd58758f5235090686b9eb01
2025-10-15,Safeway — 639 S Bernardo Ave (Sunnyvale),(whole|2%|skim)?\s*milk,,,"Put shopping on autopilot and save an extra 5% with Schedule & Save! From bread and milk to fresh produce, subscribe to stay stocked on essentials in a few, easy taps. Update orders up to one day before Delivery or Pickup. Terms and conditions apply.",,,https://local.safeway.com/safeway/ca/sunnyvale/639-s-bernardo-ave.html,7a2b8d602de909b8061fac2bfd1848d6bb24d6dc
2025-10-15,Safeway — 639 S Bernardo Ave (Sunnyvale),rice|大米,,each,"To use your Points, just enter your phone number or swipe your Loyalty Card at the fuel pump at a participating station prior to gassing up! Your fuel price will reflect the number of Points you opt to use on each transaction. Note: Points are eligible up to a 25-gallon limit. Maximum Points limits may vary by area. To use your Points, first sign in, then select Safeway for U™ on the menu bar. From there, click on Rewards to see your summary and available Points. Select the Points you wish to redeem. Then just enter your phone number or swipe your loyalty card at checkout and your discounts and/or freebies will automatically be deducted from your total!",,,https://local.safeway.com/safeway/ca/sunnyvale/639-s-bernardo-ave.html,6329eb5e42ad066489d6d5ac8b0c6a22ef2d283b
2025-10-15,Safeway — 639 S Bernardo Ave (Sunnyvale),coffee|咖啡(豆|粉),,,"Safeway is dedicated to being your one-stop-shop and provides rug doctor rentals or find an in-store bank, Coinstar, and Western Union service! Further enhance your shopping experience by grabbing a hot cup of coffee at your in-store Starbucks. Download our Safeway app for Safeway for U™ to find personalized offers and discounts or check out our Weekly Ad for store savings and earn Gas Points with purchases. For more information, visit or call (408) 732-5900. Stop by and see why our service, convenience, and fresh offerings will make Safeway your favorite local supermarket!",,,https://local.safeway.com/safeway/ca/sunnyvale/639-s-bernardo-ave.html,a3c4519ee1857686c468eca0b78b5fd1a8dcbd21
2025-10-15,Safeway — 150 E El Camino Real (Sunnyvale),rice|大米,,,Save big every day on laundry items while you shop groceries!* Discover lower prices on trusted laundry essentials—from stain removers to fresh-scent detergents. Shop our laundry aisles in-store or order online for easy DriveUp & Go™ Pickup or Delivery.,,,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html,38a4cd3827febfc54a5a0c1812275843a93e3b86
2025-10-15,Safeway — 150 E El Camino Real (Sunnyvale),(whole|2%|skim)?\s*milk,,,"Enjoy extra free time with Safeway Flash™—our lightning-fast service that brings you groceries in as soon as 30 minutes.* From bananas and strawberries to milk and bottled water, get what you need, when you need it.",,,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html,d2f23b214870d30f0150e747f1d0de572baea591
2025-10-15,Safeway — 150 E El Camino Real (Sunnyvale),(whole|2%|skim)?\s*milk,,,"Put shopping on autopilot and save an extra 5% with Schedule & Save! From bread and milk to fresh produce, subscribe to stay stocked on essentials in a few, easy taps. Update orders up to one day before Delivery or Pickup. Terms and conditions apply.",,,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html,18babcd5932837c3fcf2217cd9b3ead77adfb38a
2025-10-15,Safeway — 150 E El Camino Real (Sunnyvale),rice|大米,,each,"To use your Points, just enter your phone number or swipe your Loyalty Card at the fuel pump at a participating station prior to gassing up! Your fuel price will reflect the number of Points you opt to use on each transaction. Note: Points are eligible up to a 25-gallon limit. Maximum Points limits may vary by area. To use your Points, first sign in, then select Safeway for U™ on the menu bar. From there, click on Rewards to see your summary and available Points. Select the Points you wish to redeem. Then just enter your phone number or swipe your loyalty card at checkout and your discounts and/or freebies will automatically be deducted from your total!",,,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html,89ed2ce4bb42fdb073ffe53b86a137ff0dea63ed
2025-10-15,Safeway — 150 E El Camino Real (Sunnyvale),coffee|咖啡(豆|粉),,,"Safeway is dedicated to being your one-stop-shop and provides rug doctor rentals or find an in-store bank, Coinstar, and Western Union service! Further enhance your shopping experience by grabbing a hot cup of coffee at your in-store Starbucks. Download our Safeway app for Safeway for U™ to find personalized offers and discounts or check out our Weekly Ad for store savings and earn Gas Points with purchases. For more information, visit or call (408) 732-1259. Stop by and see why our service, convenience, and fresh offerings will make Safeway your favorite local supermarket!",,,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html,d799a9ced2a50f3329b5d4bbbcdc0f048d8779ca
2025-10-15,Whole Foods Market — Sunnyvale,salmon|三文鱼,,,"Bilinski's Chicken Sausages: In store only. Must purchase in multiples of 2 to receive discount. Discount applied on lower-priced item. Must be current Prime member to get Prime price. Cafe Spice Individual Meals: In store only. Excludes food bars, venues and restaurants. Must purchase in multiples of 2 to receive discount. Discount applied on lower-priced item. Must be current Prime member to get Prime price. Organic Black, Red and Green Seedless Grapes: Must be current Prime member to get Prime price. Organic Honeycrisp Apples: Must be current Prime member to get Prime price. Responsibly Farmed Fresh Atlantic Salmon: Excludes cooked and previously frozen. Must be current Prime member to get Prime price. No-Antibiotics-Ever Pork Baby Back Ribs: Excludes branded prepacked cuts, local, pasture-raised, heritage-breed, heirloom-breed, organic, marinated and cooked. Must be current Prime member to get Prime price.",,,https://www.wholefoodsmarket.com/stores/sunnyvale,d66ccd699a6ed4bdbf865b61ee95d3835814be82
2025-10-15,Trader Joe’s — Sunnyvale (#68),(whole|2%|skim)?\s*milk,,,"At Trader Joe's in Sunnyvale , we see ourselves as your neighborhood grocery store. Step inside and you'll find unconventional and interesting products in the Trader Joe's label like Mandarin Orange Chicken and Cold Brew Coffee Concentrate, as well as everyday basics like milk, eggs, meat, bakery items, and fresh produce. We are a good source for great cheese, and we offer a vibrant selection of fresh flowers. Most importantly, we offer all of our delicious, quality products at the very best prices. We’re happy to be part of your community, and proud to offer you unique products and an exceptional shopping experience, every day.",,,https://locations.traderjoes.com/ca/sunnyvale/68/,a2e30fe2d5ad1f872dd9554d801e1bf424ebac3b
2025-10-15,Target — Sunnyvale (Store 2584),egg(s)?|鸡蛋,,,"Toddler Girls' Solid Leggings - Cat & Jack™ Black 12M: Cotton-Spandex Blend, Mid Rise, Ankle Length, Elastic Waistband",,,https://www.target.com/sl/sunnyvale/2584,589a9753d97a3ee154fdd37367d71c2844a390b6
2025-10-15,Target — Sunnyvale (Store 2584),yogurt|greek yogurt|酸奶,9,2 for $9,Buy 2 for $9 select Chobani Greek yogurt,,,https://www.target.com/sl/sunnyvale/2584,81f31248c65ec009f80dc593490ff4919055ddfc
